class,canonical,status,oc_names,swift_names,oc_support_names,oc_files,swift_files,oc_support_files
UIImagePickerController,delegate,swift_only,,byDelegate,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:18,
UIImagePickerController,imageexportpreset,swift_only,,byImageExportPreset,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:43,
UIImagePickerController,mediatypes,swift_only,,byMediaTypes,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:30,
UIImagePickerController,showscameracontrols,swift_only,,byShowsCameraControls,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:71,
UIImagePickerController,sourcetype,swift_only,,bySourceType,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:24,
UIImagePickerController,target,swift_only,,byTarget,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIImagePickerController/UIImagePickerController+Proxy.swift:22,
UIImagePickerController,videoexportpreset,swift_only,,byVideoExportPreset,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:64,
UIImagePickerController,videomaximumduration,swift_only,,byVideoMaximumDuration,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:50,
UIImagePickerController,videoquality,swift_only,,byVideoQuality,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImagePickerController/UIImagePickerController+DSL.swift:57,
UIImageView,animationduration,aligned,byAnimationDuration,byAnimationDuration,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.h:32; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.m:39,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:128; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:49,
