class,api_kind,api_name,selector_arity,expected_dsl,canonical,readonly,class_member,sdk_file,sdk_line,declaration
UIView,property,motionEffects,,byMotionEffects,motioneffects,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,386,"@property (copy, nonatomic) NSArray<__kindof UIMotionEffect *> *motionEffects API_AVAILABLE(ios(7.0));"
UIView,property,constraints,,byConstraints,constraints,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,405,"@property(nonatomic,readonly) NSArray<__kindof NSLayoutConstraint *> *constraints API_AVAILABLE(ios(6.0));"
UIView,instance_method,addConstraint,1,byAddConstraint,addconstraint,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,407,- (void)addConstraint:(NSLayoutConstraint *)constraint API_AVAILABLE(ios(6.0));
UIView,instance_method,addConstraints,1,byAddConstraints,addconstraints,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,408,- (void)addConstraints:(NSArray<__kindof NSLayoutConstraint *> *)constraints API_AVAILABLE(ios(6.0));
UIView,instance_method,removeConstraint,1,byRemoveConstraint,removeconstraint,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,409,- (void)removeConstraint:(NSLayoutConstraint *)constraint API_AVAILABLE(ios(6.0));
UIView,instance_method,removeConstraints,1,byRemoveConstraints,removeconstraints,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,410,- (void)removeConstraints:(NSArray<__kindof NSLayoutConstraint *> *)constraints API_AVAILABLE(ios(6.0));
UIView,instance_method,updateConstraintsIfNeeded,0,byUpdateConstraintsIfNeeded,updateconstraintsifneeded,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,418,- (void)updateConstraintsIfNeeded API_AVAILABLE(ios(6.0));
UIView,instance_method,updateConstraints,0,byUpdateConstraints,updateconstraints,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,419,- (void)updateConstraints API_AVAILABLE(ios(6.0)) NS_REQUIRES_SUPER;
UIView,instance_method,needsUpdateConstraints,0,byNeedsUpdateConstraints,needsupdateconstraints,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,420,- (BOOL)needsUpdateConstraints API_AVAILABLE(ios(6.0));
UIView,instance_method,setNeedsUpdateConstraints,0,bySetNeedsUpdateConstraints,setneedsupdateconstraints,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,421,- (void)setNeedsUpdateConstraints API_AVAILABLE(ios(6.0));
UIView,property,translatesAutoresizingMaskIntoConstraints,,byTranslatesAutoresizingMaskIntoConstraints,translatesautoresizingmaskintoconstraints,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,429,@property(nonatomic) BOOL translatesAutoresizingMaskIntoConstraints API_AVAILABLE(ios(6.0));
UIView,property,requiresConstraintBasedLayout,,byRequiresConstraintBasedLayout,requiresconstraintbasedlayout,YES,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,432,"@property(class, nonatomic, readonly) BOOL requiresConstraintBasedLayout API_AVAILABLE(ios(6.0));"
UIView,instance_method,alignmentRectForFrame,1,byAlignmentRectForFrame,alignmentrectforframe,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,443,- (CGRect)alignmentRectForFrame:(CGRect)frame API_AVAILABLE(ios(6.0));
