class,api_kind,api_name,selector_arity,expected_dsl,canonical,readonly,class_member,sdk_file,sdk_line,declaration,coverage_status,recommended_action,oc_names,swift_names,oc_support_names,oc_files,swift_files,oc_support_files
UIView,property,layerClass,,byLayerClass,layerclass,YES,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,150,"@property(class, nonatomic, readonly) Class layerClass;",missing_both,review_readonly_terminal_or_skip,,,,,,
UIView,property,userInteractionEnabled,,byUserInteractionEnabled,userinteractionenabled,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,156,"@property(nonatomic,getter=isUserInteractionEnabled) BOOL userInteractionEnabled;",covered_both,ok,byUserInteractionEnabled,byUserInteractionEnabled,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:176; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:107,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:208; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:400,
UIView,instance_method,didAddSubview,1,byDidAddSubview,didaddsubview,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,237,- (void)didAddSubview:(UIView *)subview;,missing_both,add_both_if_chainable,,,,,,
UIView,instance_method,willRemoveSubview,1,byWillRemoveSubview,willremovesubview,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,238,- (void)willRemoveSubview:(UIView *)subview;,missing_both,add_both_if_chainable,,,,,,
UIView,instance_method,willMoveToSuperview,1,byWillMoveToSuperview,willmovetosuperview,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,240,- (void)willMoveToSuperview:(nullable UIView *)newSuperview;,missing_both,add_both_if_chainable,,,,,,
UIView,instance_method,didMoveToSuperview,0,byDidMoveToSuperview,didmovetosuperview,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,241,- (void)didMoveToSuperview;,missing_both,add_both_if_chainable,,,,,,
UIView,instance_method,willMoveToWindow,1,byWillMoveToWindow,willmovetowindow,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,242,- (void)willMoveToWindow:(nullable UIWindow *)newWindow;,missing_both,add_both_if_chainable,,,,,,
UIView,instance_method,didMoveToWindow,0,byDidMoveToWindow,didmovetowindow,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,243,- (void)didMoveToWindow;,missing_both,add_both_if_chainable,,,,,,
UIView,instance_method,isDescendantOfView,1,byDescendantOfView,descendantofview,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,245,- (BOOL)isDescendantOfView:(UIView *)view;,missing_both,review_terminal_query,,,,,,
UIView,instance_method,viewWithTag,1,byViewWithTag,viewwithtag,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,246,- (nullable __kindof UIView *)viewWithTag:(NSInteger)tag;,missing_both,review_terminal_query,,,,,,
UIView,instance_method,setNeedsUpdateProperties,0,bySetNeedsUpdateProperties,setneedsupdateproperties,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,250,"- (void)setNeedsUpdateProperties API_AVAILABLE(ios(26.0), tvos(26.0), visionos(26.0)) API_UNAVAILABLE(watchos);",missing_both,add_both_if_chainable,,,,,,
UIView,instance_method,updateProperties,0,byUpdateProperties,updateproperties,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,253,"- (void)updateProperties NS_REQUIRES_SUPER API_AVAILABLE(ios(26.0), tvos(26.0), visionos(26.0)) API_UNAVAILABLE(watchos);",missing_both,add_both_if_chainable,,,,,,
